Serum_conc,Lysis_Er_rH610,Lysis_Es_rH610,Lysis_Er_rH1115,Lysis_Es_rH1115,Lysis_Er_rH1620,Lysis_Es_rH1620
0,0.426688354,0.426136364,0.565168469,0.281484685,0.000742406,0.428924867
1.25,0.255939414,0.398536858,0.528516818,0.954775527,0.679486775,0.536759288
2.6,0.653924282,0.227787918,1.054101503,0.489666067,0.494442166,0.640139275
4,0.767266251,0.76671426,0.7344991,1.018182884,0.172609315,0.316821613
5.25,5.285121291,0.455023846,1.268147149,1.266681083,9.174834676,0.137716249
6.66,19.03317093,1.278041098,6.899306917,1.649690843,20.46886629,2.822811899
8,33.06862341,1.676025966,11.26121999,1.898189042,33.34403635,9.384564273
9,49.09216027,1.221738106,18.74292165,1.719695498,41.77238214,16.52168103
13,87.21738106,4.831017428,40.61332874,1.606075378,90.15087539,38.64518392
16,93.83611046,12.58555847,77.1330345,1.814989793,100,54.91908706
20,99.29032472,23.15340909,98.72122387,3.400540245,100,74.7500413
