fD,HEMOLYSIS_fD,fB,HEMOLYSIS_fB,C5,HEMOLYSIS_C5
0.004058785,0.473699871,0.389479268,0.4,9.83E-07,0
0.007956753,1.029991398,0.776103338,0.19,9.94E-06,4.07
0.016449762,1.583960316,1.607762938,0.34,1.00E-04,7.98
0.031100852,5.65606778,3.115459245,0.77,9.99E-04,23.11
0.062825506,30.81068361,6.312498,0.55,9.99E-03,41.55
0.12002989,67.68184714,12.29430234,3.19,9.51E-02,60.22
0.233631659,100.4522577,24.49959913,27.88,1.00E+00,80.08
0.464955759,113.0148557,48.73349873,60.75,9.79E+00,103.12
0.978367158,113.8609061,94.37093278,89.3,9.95E+01,112.46
1.917720879,115.0029089,193.9037035,101.31,,
