Parameter,Value,Units,Notes
k_p_C3(H20),8.3e-07,1/second,"Hydrolysis of C3(H2O) [1]"
k_p_C3(H20)B,213000,1/molarity/second,"Association of Factor B to C3(H2O) [E1]"
k_m_C3(H20)B,0.155,1/second,"Dissociation of complex C3(H2O)B [E1]"
k_p_C3bH,1100000,1/molarity/second,"Association of Factor H to C3(H2O) [E1]"
k_m_C3bH,0.059,1/second,"Dissociation of complex C3(H2O)H [E1]"
k_p_C3bH_surf,1100000,1/molarity/second,"Association of Factor H to surface bound proteins"
k_p_C3bCR1,4400000,1/molarity/second,"Association of CR1 to C3b [E2, 7, 8, 9]"
k_m_C3bCR1,0.057,1/second,"Dissociation of complex C3bCR1 [E2, 7, 8, 9]"
k_m_C3(H2O)Bb,0.009,1/second,"Dissociation of complex C3(H2O)Bb  [2]"
k_m_C3bBbH decay,0.077,1/second,"k_c"
k_p_fC3b,12000,1/second,"Association of nfC3b, nhC3b, and npC3b to water [C1]"
k_p_C3bB,222590,1/molarity/second,"Association of Factor B to C3b [3]"
k_m_C3bB,0.155,1/second,"Dissociation of complex C3bB [3]"
k_m_C3bBb,0.0077,1/second,"Dissociation of complex C3bBb  [2]"
k_m_C3bBbCR1 decay,0.077,1/second,"Decay of C3 convertase by inhibitor CR1 on host cell [Assumption]"
k_p_C3bBbC3b,3500000,1/molarity/second,"Association of C3b to C3bBb [5, Optimization]"
k_m_C3bBbC3b,0.0038,1/second,"Dissociation of complex C3bBbC3b  [12]"
k_m_C3bBbDAF decay,0.0022756,1/second,"Decay of C3 convertase by inhibitor DAF on cell [Assumption]"
k_p_C3b_surface,2160216021.60216,1/molarity/second,"Attachment of nfC3b to host cell [Calculated]"
k_p_hC3b,26745.5316960267,1/molarity/second,"Attachment of nhC3b to cell [Calculated]"
k_p_C5b7 surface,420000000,1/molarity/second,"Attachment of C5b7 to cell [Calculated]"
k_p_C3bBbDAF,25295000000,1/molarity/second,"Association of DAF to C3 convertase on cell [E3, 10]"
k_p_iC3bCR1,2000,1/molarity/second,"Association of iC3b to CR1 [E4, 8, 11]"
k_m_iC3bCR1,0.01,1/second,"Dissociation of complex iC3bCR1 [E4, 8, 11]"
k_m_C5b,0.038,1/second,"Dissociation of complex C3bBbC3bC5b [14]"
k_p_C5b7,730000,1/molarity/second,"Association of C7 to C3bBbC3bC5bC6 [5, 15, 16]"
k_m_C5b7,8e-07,1/second,"Dissociation of complex C3bBbC3bC5bC6C7  [5, 15, 16]"
k_p_C5b8,1100000,1/molarity/second,"Association of C8 to C5b7  [5, 15, 16]"
k_m_C5b8,9.8e-07,1/second,"Dissociation of complex C5b8  [5, 15, 16]"
k_p_C5b9,2800000,1/molarity/second,"Association of C9 to C5b8  [5, 15, 16]"
k_m_C5b9,1e-06,1/second,"Dissociation of complex C5b9  [5, 15, 16]"
k_p_CD59C5b9,602800000000,1/molarity/second,"Association of CD59 to C5b9 [Assumption]"
k_m_CD59C5b9,0.0002,1/second,"Dissociation of complex CD59C5b9  [Assumption]"
k_p_C3bBbC3bC5bC6,77436,1/molarity/second,"Association of C6 to C3bBbC3bC5b  [5, 15]"
k_m_C3bBbC3bC5bC6,9e-08,1/second,"Dissociation of complex C3bBbC3bC5bC6  [5, 15]"
