Reaction,ReactionRate
C3 -> [C3(H2O) fluid]                                                                           ,C3 * [k_p_C3(H20)]
[C3(H2O) fluid] + B <-> [C3(H2O)B fluid]                                                        ,[k_p_C3(H20)B]  * [C3(H2O) fluid] * B - [k_m_C3(H20)B] * [C3(H2O)B fluid]
[C3(H2O) fluid] + H <-> [C3(H2O)H fluid]                                                        ,[k_p_C3bH] * [C3(H2O) fluid] * H - [k_m_C3bH] * [C3(H2O)H fluid]
[C3(H2O) fluid] + CR1 <-> [C3(H2O)CR1 fluid]                                                    ,[k_p_C3bCR1] * [C3(H2O) fluid] * CR1 - [k_m_C3bCR1] * [C3(H2O)CR1 fluid]
[C3(H2O)Bb fluid] -> [C3(H2O) fluid] + Bb                                                       ,[k_m_C3(H2O)Bb] * [C3(H2O)Bb fluid]
[C3(H2O)BbH fluid] -> H + Bb + [C3(H2O) fluid]                                                  ,[k_m_C3bBbH decay] * [C3(H2O)BbH fluid]
[C3(H2O)B fluid] + D -> [C3(H2O)Bb fluid] + Ba + D                                              ,[k_D_cat_C3(H2O)B] * D * [C3(H2O)B fluid] / ([K_D_m_C3(H2O)B] + [C3bB fluid] + [C3(H2O)B fluid] + [C3bB host])
[C3(H2O)Bb fluid] + H -> [C3(H2O)BbH fluid]                                                     ,[k_p_C3bH] * [C3(H2O)Bb fluid] * H
nfC3b -> [C3b fluid]                                                                            ,k_p_fC3b * nfC3b
nhC3b -> [C3b fluid]                                                                            ,k_p_fC3b * nhC3b
[C3b fluid] + B <-> [C3bB fluid]                                                                ,k_p_C3bB * [C3b fluid] * B - k_m_C3bB * [C3bB fluid]
[C3b fluid] + H <-> [C3bH fluid]                                                                ,k_p_C3bH * [C3b fluid] * H - k_m_C3bH * [C3bH fluid]
[C3b fluid] + CR1 <-> [C3bCR1 fluid]                                                            ,k_p_C3bCR1 * [C3b fluid] * CR1 - k_m_C3bCR1 * [C3bCR1 fluid]
[C3bBb fluid] -> Bb + [C3b fluid]                                                               ,k_m_C3bBb * [C3bBb fluid]
[C3bBbH fluid] -> H + Bb + [C3b fluid]                                                          ,[k_m_C3bBbH decay] * [C3bBbH fluid]
[C3bBbCR1 fluid] -> CR1 + Bb + [C3b fluid]                                                      ,[k_m_C3bBbCR1 decay] * [C3bBbCR1 fluid]
[C3b fluid] + [C3bBb host] <-> [C3bBbC3b host]                                                  ,k_p_C3bBbC3b * [C3b fluid] * [C3bBb host] - k_m_C3bBbC3b * [C3bBbC3b host]
[C3bBbC3bCR1 host] -> CR1 + [C3b fluid] + [C3b host] + Bb                                       ,[k_m_C3bBbCR1 decay] * [C3bBbC3bCR1 host]
[C3bBbC3bDAF host] -> DAF + [C3b fluid] + [C3b host] + Bb                                       ,[k_m_C3bBbDAF decay] * [C3bBbC3bDAF host]
[C3bBbC3bH host] -> H + [C3b fluid] + [C3b host] + Bb                                           ,[k_m_C3bBbH decay] * [C3bBbC3bH host]
[C3bB fluid] + D -> [C3bBb fluid] + Ba + D                                                      ,[k_D_cat_C3bB] * D * [C3bB fluid] / ([K_D_m_C3bB] + [C3bB fluid] + [C3(H2O)B fluid] + [C3bB host])
[C3bBb fluid] + H -> [C3bBbH fluid]                                                             ,[k_p_C3bH] *  H * [C3bBb fluid]
CR1 + [C3bBb fluid] -> [C3bBbCR1 fluid]                                                         ,[k_p_C3bCR1] *  CR1 * [C3bBb fluid]
C3 -> C3a + nfC3b                                                                               ,[k_C3_cat_C3(H2O)Bb] * [C3] * [C3(H2O)Bb fluid] / ([K_C3_m_C3(H2O)Bb] + [C3])
C3 + [C3bBb fluid] -> C3a + nfC3b + [C3bBb fluid]                                               ,[k_C3_cat_C3bBb] * [C3] * [C3bBb fluid] / ([K_C3_m_C3bBb] + [C3])
nfC3b + [Surface host] -> [C3b host]                                                            ,[k_p_C3b_surface] * [nfC3b] * [Surface host]
[C3bBbP host] -> P + [C3b host] + Bb                                                            ,[k_m_C3bBbP] * [C3bBbP host]
C3 + [C3bBbP host] -> C3a + nhC3b + [C3bBbP host]                                               ,[k_C3_cat_C3bBbP] * [C3] * [C3bBbP host] / ([K_C3_m_C3bBbP] + [C3])
[C3bBbP host] + nhC3b -> [C3bBbC3bP host]                                                       ,[k_p_C3bBbC3b] * [C3bBbP host] * nhC3b
[C3bBP host] + D -> [C3bBbP host] + Ba + D                                                      ,[k_D_cat_C3bB] * D * [C3bBP host] / ([K_D_m_C3(H2O)B] + [C3bB fluid] + [C3(H2O)B fluid] + [C3bB host]+ [C3bBP host])
[C3bBb host] + P -> [C3bBbP host]                                                               ,[k_p_C3bP] * [C3bBb host] * [P]
[C3bBbP host] + [C3b fluid] -> [C3bBbC3bP host]                                                 ,[k_p_C3bBbC3b] * [C3bBbP host] * [C3b fluid]
[iC3b host] + P <-> [iC3bP host]                                                                ,[k_p_iC3bP] * [iC3b host] * [P] - [k_m_iC3bP] * [iC3bP host]
[C3bBbC3b host] + P <-> [C3bBbC3bP host]                                                        ,[k_p_C3bP] * [C3bBbC3b host] * P - [k_m_C3bP] * [C3bBbC3bP host]
[C3bBbC3bPC5 host] -> [C3bBbC3bC5 host] + P                                                     ,[k_m_C3bP] * [C3bBbC3bPC5 host]
[C3bBbC3bPC5b host] -> [C3bBbC3bC5b host] + P                                                   ,[k_m_C3bP] * [C3bBbC3bPC5b host]
[C3bBbC3bPC5bC6 host] -> [C3bBbC3bC5bC6 host] + P                                               ,[k_m_C3bP] * [C3bBbC3bPC5bC6 host]
[C3bBbC3bPC5bC6 host] + C7 -> [C3bBbC3bP host] + [hC5b7 fluid]                                  ,[k_p_C5b7] * [C3bBbC3bPC5bC6 host] * C7
[C3bBbC3bPC5b host] -> [C3bBbC3bP host] + C5b                                                   ,[k_m_C5b] * [C3bBbC3bPC5b host]
[C3bBbC3bP host] + C5 -> C5a + [C3bBbC3bPC5b host]                                              ,[k_C5_cat_C3bBbC3b] * [C3bBbC3bP host] * C5 / ([K_C5_m_C3bBbC3b] + C5)
[C3bBbC3bPC5b host] + C6 <-> [C3bBbC3bPC5bC6 host]                                              ,[k_p_C3bBbC3bC5bC6] * [C3bBbC3bPC5b host] * C6 - [k_m_C3bBbC3bC5bC6] * [C3bBbC3bPC5bC6 host]
C3 + [C3bBb host] -> C3a + nhC3b + [C3bBb host]                                                 ,[k_C3_cat_C3bBb] * [C3] * [C3bBb host] / ([K_C3_m_C3bBb] + [C3])
nhC3b + [Surface host] -> [C3b host]                                                            ,[k_p_hC3b] * [nhC3b] * [Surface host] * 15.6
nhC3b + [C3bBb host] -> [C3bBbC3b host]                                                         ,[k_p_C3bBbC3b] * [nhC3b] * [C3bBb host]
[hC5b7 fluid] + [Surface host] + [Surface host] + [Surface host] + [Surface host] -> [C5b7 host],[k_p_C5b7 surface] * [hC5b7 fluid] * [Surface host] * 1.4
[C3b host] + CR1 <-> [C3bCR1 host]                                                              ,[k_p_C3bCR1] * [C3b host] * CR1 - [k_m_C3bCR1] * [C3bCR1 host]
[C3b host] + H <-> [C3bH host]                                                                  ,[k_p_C3bH_surf] * [C3b host] * H - [k_m_C3bH] * [C3bH host]
[C3b host] + B <-> [C3bB host]                                                                  ,[k_p_C3bB] * [C3b host] * B - [k_m_C3bB] * [C3bB host]
[C3bBbH host] -> H + Bb + [C3b host]                                                            ,[k_m_C3bBbH decay] * [C3bBbH host]
[C3bBb host] -> Bb + [C3b host]                                                                 ,[k_m_C3bBb] * [C3bBb host]
[C3bBbCR1 host] -> CR1 + Bb + [C3b host]                                                        ,[k_m_C3bBbCR1 decay] * [C3bBbCR1 host]
[C3bBbDAF host] -> DAF + Bb + [C3b host]                                                        ,[k_m_C3bBbDAF decay] * [C3bBbDAF host]
[C3bBbC3b host] -> Bb + [C3b host] + [C3b fluid]                                                ,[k_m_C3bBbC3b] * [C3bBbC3b host]
[C3bB host] + D -> [C3bBb host] + Ba + D                                                        ,[k_D_cat_C3bB] * D * [C3bB host] / ([K_D_m_C3(H2O)B] + [C3bB fluid] + [C3(H2O)B fluid] + [C3bB host]+ [C3bBP host])
[C3bBb host] + H -> [C3bBbH host]                                                               ,[k_p_C3bH_surf] * [C3bBb host] * H
[C3bBb host] + CR1 -> [C3bBbCR1 host]                                                           ,[k_p_C3bCR1] * [C3bBb host] * CR1
[C3bBb host] + DAF -> [C3bBbDAF host]                                                           ,[k_p_C3bBbDAF] * [C3bBb host] * DAF
[C3bCR1 host] + I -> CR1 + [iC3b host] + I                                                      ,[k_FI_cat_C3bH] * I * [C3bCR1 host] / ([K_FI_m_C3bH] + [C3bH fluid] + [C3bCR1 fluid] + [iC3bCR1 fluid] + [C3bH host] + [C3bCR1 host] + [iC3bCR1 host])
