Species,Value,Units,Notes
H2O,0,micromolarity,
drug,0,micromolarity,
Host compl deposit,0,micromolarity,[Host compl deposit] = [C3b host] + [iC3b host]  + [C3dg host] + [C3bBb host]+ [C3bBbC3b host] + [MAC host] + [C3bB host] + [C3bBbC3bC5bC6 host]+ [C5b7 host]  + [C5b8 host]+ [C5b9_1 host]+[C5b9_2 host]+[C5b9_3 host]+[C5b9_4 host]+[C5b9_5 host]+ [C5b9_6 host]+[C5b9_7 host]+[C5b9_8 host]+[C5b9_9 host]+[C5b9_10 host]
Terminal_fluid_phase,0,micromolarity,[Terminal_fluid_phase] = [hC5b7 fluid] + [C5b8 fluid] + [C5b7 micelle]+                                [VnC5b7 fluid] + [VnC5b8 fluid] + [VnC5b9_1 fluid]+                                [CnC5b7 fluid] + [CnC5b8 fluid] + [CnC5b9_1 fluid]+                                [C5b9_1 fluid]
sC5b9,0,micromolarity,
C3d_Ab_Wilcox,0,micromolarity,
C3b_fluid_sum,0,micromolarity,
C3b_surf_deposit,0,micromolarity,[C3b_surf_deposit] = [C3b host] + [iC3b host] + [iC3bP host] + [C3bBb host] + [C3bBbC3b host]+ [C3bBbC3bCR1 host] + [C3bBbC3bDAF host] + [C3bBbC3bH host] + [C3bBbP host]+ [C3bBbC3bP host] + [C3bBP host] + [C3bBbC3bPC5 host] + [C3bBbC3bC5 host] + [C3bBbC3bPC5b host] + [C3bBbC3bC5b host] + [C3bBbC3bPC5bC6 host] + [C3bBbC3bC5bC6 host]+ [C3bCR1 host] + [C3bH host] + [C3bB host] + [C3bBbH host] + [C3bBbCR1 host] + [C3bBbDAF host] + [iC3bCR1 host]
Total_surface,0,micromolarity,[Total_surface] = [Surface host] + [C3bBb host] + [C3bBbC3b host] + [C3bBbC3bCR1 host] + [C3b host]+ [C3bBbC3bDAF host] + [C3bBbC3bH host] + [C3bBbP host] + [C3bBbC3bP host] + [C3bBP host]+ [iC3b host] + [iC3bP host] + [C3bBbC3bPC5 host] + [C3bBbC3bC5 host] + [C3bBbC3bPC5b host]+ [C3bBbC3bC5b host] + [C3bBbC3bPC5bC6 host] + [C3bBbC3bC5bC6 host] + 4 * [C5b7 host] + [C3bCR1 host]+ [C3bH host] + [C3bB host] + [C3bBbH host] + [C3bBbCR1 host] + [C3bBbDAF host]+ [iC3bCR1 host] + [C3dg host] + 4 * [C5b8 host] + 4 * [C5b9_1 host] + 4 * [C5b9_2 host]+ 4 * [C5b9_3 host] + 4 * [C5b9_4 host] + 4 * [C5b9_5 host] + 4 * [C5b9_6 host] + 4 * [C5b9_7 host]+ 4 * [C5b9_8 host] + 4 * [C5b9_9 host] + 4 * [C5b9_10 host] + 4 * [C5b9_11 host] + 4 * [C5b9_12 host]+ 4 * [C5b9_13 host] + 4 * [C5b9_14 host] + 4 * [C5b9_15 host] + 4 * [C5b9_16 host] + 4 * [C5b9_17 host]+ 4 * [MAC host] + 4 * [CD59C5b9_1 host]
C3bBbC3b_P_sum,0,micromolarity,
C3_ugmL,0,micromolarity,
C3a_ugmL,0,micromolarity,
C3b_fluid_ugmL,0,micromolarity,
C3b_host_ugmL,0,micromolarity,
iC3b_fluid_ugmL,0,micromolarity,
iC3b_host_ugmL,0,micromolarity,
C3dg_host_ugmL,0,micromolarity,
C3dg_fluid_ugmL,0,micromolarity,
C5_ugmL,0,micromolarity,
C5a_ugmL,0,micromolarity,
C6_ugmL,0,micromolarity,
C7_ugmL,0,micromolarity,
C8_ugmL,0,micromolarity,
C9_ugmL,0,micromolarity,
Bb_ugmL,0,micromolarity,
B_ugmL,0,micromolarity,
D_ugmL,0,micromolarity,
I_ugmL,0,micromolarity,
H_ugmL,0,micromolarity,
CR1_ugmL,0,micromolarity,
DAF_ugmL,0,micromolarity,
Vn_ugmL,0,micromolarity,
Cn_ugmL,0,micromolarity,
CD59_ugmL,0,micromolarity,
NumC8 host,0,micromolarity,
NumC9 host,0,micromolarity,
Erythrocytes_uM,0,micromolarity,
Hemoglobin_g_dL,0,micromolarity,
Erythrocytes_N_L,0,micromolarity,
Hematocrit_Percent,0,micromolarity,
LDH_U_L,0,micromolarity,
C3(H2O) fluid,0,micromolarity,
C3(H2O)B fluid,0,micromolarity,
C3(H2O)H fluid,0,micromolarity,
C3(H2O)CR1 fluid,0,micromolarity,
C3(H2O)Bb fluid,0,micromolarity,
Bb,0,micromolarity,
C3(H2O)BbH fluid,0,micromolarity,
Ba,0,micromolarity,
nfC3b,0,micromolarity,
C3b fluid,0,micromolarity,
nhC3b,0,micromolarity,
C3bB fluid,0,micromolarity,
C3bH fluid,0,micromolarity,
C3bCR1 fluid,0,micromolarity,
C3bBb fluid,0,micromolarity,
C3bBbH fluid,0,micromolarity,
C3bBbCR1 fluid,0,micromolarity,
C3bBb host,0,micromolarity,
C3bBbC3b host,0,micromolarity,
C3bBbC3bCR1 host,0,micromolarity,
C3b host,0,micromolarity,
C3bBbC3bDAF host,0,micromolarity,
C3bBbC3bH host,0,micromolarity,
C3a,0,micromolarity,
C3bBbP host,0,micromolarity,
C3bBbC3bP host,0,micromolarity,
